Episode,Reward,Steps,Reason
480,-0.38,5,FALL
481,3.53,6,FALL
482,7.13,8,FALL
483,1.55,6,FALL
484,8.38,9,FALL
485,21.20,13,FALL
486,29.57,16,FALL
487,10.95,9,FALL
488,1.71,6,FALL
489,29.97,17,FALL
490,13.41,10,FALL
491,4.66,7,FALL
492,0.42,6,FALL
493,64.05,26,FALL
494,7.18,8,FALL
495,-1.23,5,FALL
496,6.46,7,FALL
497,5.57,8,FALL
498,9.35,8,FALL
499,-2.27,5,FALL
500,23.43,14,FALL
501,2.23,6,FALL
502,8.79,9,FALL
503,-0.42,5,FALL
504,12.01,10,FALL
505,71.42,29,FALL
506,2.80,6,FALL
507,-0.77,5,FALL
508,9.55,9,FALL
509,11.91,10,FALL
510,16.36,11,FALL
511,2.04,6,FALL
512,7.91,8,FALL
513,6.94,7,FALL
514,11.72,8,FALL
515,22.36,14,FALL
516,5.71,7,FALL
517,15.82,10,FALL
518,27.73,16,FALL
519,8.82,9,FALL
520,1.88,6,FALL
521,1.04,5,FALL
522,-3.20,4,FALL
523,28.31,16,FALL
524,0.26,5,FALL
525,-3.69,4,FALL
526,1.99,6,FALL
527,0.88,6,FALL
528,-2.34,4,FALL
529,7.50,8,FALL
530,18.87,11,FALL
531,75.91,33,FALL
532,20.51,13,FALL
533,1.22,6,FALL
534,29.30,16,FALL
535,1.36,6,FALL
536,4.36,7,FALL
537,4.31,7,FALL
538,9.62,7,FALL
539,8.84,8,FALL
540,20.43,13,FALL
541,-0.74,5,FALL
542,49.74,21,FALL
543,0.75,6,FALL
544,27.57,15,FALL
545,36.68,17,FALL
546,4.28,6,FALL
547,0.76,5,FALL
548,5.62,7,FALL
549,2.47,6,FALL
550,-1.77,5,FALL
551,53.70,22,FALL
552,0.85,6,FALL
553,15.03,10,FALL
554,2.69,6,FALL
555,25.78,15,FALL
556,-1.85,5,FALL
557,5.29,7,FALL
558,3.00,6,FALL
559,19.45,11,FALL
560,18.01,12,FALL
561,19.44,13,FALL
562,15.50,11,FALL
563,44.52,19,FALL
564,5.89,7,FALL
565,5.84,7,FALL
566,-2.36,4,FALL
567,-0.09,5,FALL
568,11.01,10,FALL
569,24.32,14,FALL
570,6.86,7,FALL
571,16.04,11,FALL
572,7.28,7,FALL
573,41.88,19,FALL
574,4.17,6,FALL
575,8.56,8,FALL
576,46.33,22,FALL
