x,y,z,hn,ht,dg,mct,mcn
-0.12,0.09,0.13,0.605545,-0.497142,0.586784,-1.13226,-0.605545
-0.12,0.09,0.14,0.571337,-0.686382,0.229006,-0.96372,-0.571337
-0.12,0.1,0.1,0.785398,-0.348143,0.948227,-1.3447,-0.785398
-0.12,0.1,0.11,0.737815,-0.396834,0.815015,-1.26018,-0.737815
-0.12,0.1,0.12,0.694738,-0.471984,0.640315,-1.16063,-0.694738
-0.12,0.1,0.13,0.655696,-0.606712,0.371838,-1.02688,-0.655696
-0.11,-0.1,0.1,-0.785398,-0.16274,1.16172,-1.37279,0.785398
-0.11,-0.1,0.11,-0.737815,-0.200713,1.04663,-1.29567,0.737815
-0.11,-0.1,0.12,-0.694738,-0.255081,0.906452,-1.20986,0.694738
-0.11,-0.1,0.13,-0.655696,-0.334114,0.728315,-1.11076,0.655696
